apk_name,malware_score,label
198F5837D529FDE9E2070449CF4F4B54B5CC3D2714A52F7A2506A645DFBD230A.apk,0.2204,0
198F6C8C4B4F5137C8DB41C7C6314CA2C56C187F84EB2D9364BD45E9259577FA.apk,50.0487,0
198FC1EF025FB48E39B2C28259D065C9E2A8303C78B4558F5751F79D8201F13E.apk,34.6683,0
198FF3D1D8CE34147C325FD5EF61BBA093D854B575A13FAE8F394CD222C0211C.apk,1.0723,0
198FFAF2BF96F3AD59B156297303066BF02A50BDCBF21550DDDD1327F42A16D2.apk,36.6881,0
199015082974753A37E8529C13C1B0F209BC03C9453C8E6ABDB3364E6AF78E29.apk,34.4223,0
19901E7F2BF9703DED487BFA090408FD4CC6A4B2C24902212EA46048D39FA5A0.apk,68.5941,0
19904C0CAE18A1803444B16CCB5B2FF488488A0CC0E7C63A348BA6EE5F7858E7.apk,59.4887,0
1990952F2162E9AE692AF596772456EAEB200F4D20ACFB531BD1D2B27CEBB63D.apk,30.5172,0
1990964ED1A683B73F6333AB78EEC7CEE1EB1EA95BB65165EE98FE95A15FD27C.apk,24.5502,0
19909CF48FC3E3BE114C5759314375DE4FD7B34BEA7FEC080E5A5FE8EEF90C2B.apk,32.8124,0
1990DA98EC17D988F0E869BA5BE51165746688736417A45DDBCFD331235C5BCB.apk,50.7333,0
1990EFE65F96FA62C1064B4FD2C22C13530D1778795AD1F23D9D9FF85BCAB06B.apk,56.5771,0
19912BC7A72EA8CDA23F110DC4F4E03C691C44AA43A198F0FF6C496750F51833.apk,33.6269,0
19912F4114176F36D3EBAABE5D4905A456E1CA1956056D259087EC23835D9ACB.apk,36.9573,0
19914DE77CE9002FD3095C168BE83E1674F12FCF4DDDF8B313576F959A0C474D.apk,24.8873,0
19917849A3301093AA4E48B6D51B1B8C700C39C058D582DFDD45897ADEDADB30.apk,22.2677,0
19918F336B5800F1020AA9F7B82DA65BEEE706023E82C397A92C4C164904336C.apk,17.5286,0
19918FD63010D3E6D5225D94485DA120423CA7B06F09C2D4B4E79BEED610DBF7.apk,0.0745,0
1991A5840B391EA995D85985442574C2FC60138788D9D99B182C27D4EFC9A993.apk,28.2274,0
1991F81DA53D8AEA04341D38B22F81161513C519DEFA6D933B0EE6D06840B974.apk,0.0390,0
1991FA1CCCEED71AE19D82C49BBD72266131CC8DB4399EE3A1FC7F129841A2F2.apk,25.3173,0
19926020D5C42F9CAD4B87625BD6537CF5279B857D8ECC3F3F202865DF09D33E.apk,22.5006,0
1992AFA72FC7176D97BBE5A6926A431501CF0A6A208BA961FCC58172033B1B55.apk,68.1946,0
1992BE46779E0FAF696A99A7073D25294B3818AFCFDA30D6450A279B8F83E42D.apk,44.9937,0
1992E4A0FBC9F7143108A33E65CE1E8C9C6DD2D8856FCC16E4A034314BA1E18E.apk,12.4981,0
1993428D35BE23CCDEBCCE54FFE338F2AC97A402487DA61545C08F2AA43770E0.apk,35.8638,0
19934535226CC35AABBA24E2FB79D3CD62EB3C4E3684DC6E369F1C24ED0D3BFE.apk,34.6395,0
1993F4F15C57D7DE5393EC61BDC5FEC9D21DDF6142E5552B5891E2DE67DCCDF4.apk,41.7753,0
1994468767D955E70FAFC9254B4DABBA4D765B33B17DA3E330D92BD753706D48.apk,30.7765,0
199471B0B371AF0FEB9F80D481F3A4C8C3D78B79558B68D7AD1A047A3B70F478.apk,22.2205,0
199479249977FA7B95BC8BACC239BD2A414D685EEB58994C8C6177D7F4518B4F.apk,15.3033,0
199497C4C505FE6B5B4CE70F4EFF1D977D873335ED7833549F61BA915C605A14.apk,24.7716,0
1994CF1F38C7DEA17FF33826692ECE379866C49CC29906EF657B6ED52C3F10CF.apk,41.5783,0
0000511D5C2A99B303AFD14D2ACDE3EBBAD5C3426039679B25F24510A87B381C.apk,94.7879,1
000109A075DC3AFA88C45523A3EDF2039177386C58A48936FEAFEE9716F7BCBB.apk,99.1959,1
00013E39079F820CC8010FA9B6DEB57290B6BEE75365DFBE36B9348052760D08.apk,98.8968,1
00016FA3B94E1B117851EAC18D639873B892AB833D027A41243BAEE04AA49309.apk,97.4453,1
0001A112E6FA954379B572D79C8FD77C14D2301266B9BA731445C5B82ADEC21D.apk,94.8022,1
0002FB40F6F60813632B07E81D16EAE87753F4E92E813C8371A7EFBF61C7A6BB.apk,90.3668,1
00030B8F3F6E277C5A57415429E9D4FD0584ADCBF783291DBC6D5643DE8122C2.apk,83.3467,1
00041CB24A2BB4585B4A2AB040A13A00789EC7B683B38E43B02D0E5495AD1E86.apk,79.0731,1
0004B3F36CB7708D3EA332CA6004E90735D5825D39F093BDDAE2F3288E849AD4.apk,89.4143,1
0005FAFA5FA61EA3FD6CAE8684ABE566B9F3513751AF5944066DA426CDCA02AE.apk,95.2194,1
000635EEF5B02E5D32C3D067F386B8A136401779666CFC6C5B229A715CF80FC0.apk,85.7219,1
00066DEF7121F255F2392168C8E3D796EC949222239F8715673FA88E02689CE1.apk,99.2952,1
0007A823A2783F31BC9BD72B95662D79706F97F8C62B73C5C4A4FC41F627F769.apk,87.0381,1
0007F44CD054FC243E6D313584331EE513AB5F153EBE53B6BF130A66C10582D5.apk,99.0501,1
000860964328B084A2A06A2A863A009D209244D9932834476E12C2EE6656D3B0.apk,98.8692,1
0008AD471FEBC2BA04F07B2EE1D5BB28C1BF82858F29A6D02EF69EA6285C0D14.apk,98.7228,1
0008DE304B8A0D2D0ACD7490A2571888DFC63EF82CE50ECFE31A37E143872718.apk,62.4598,1
000AA7AC8DE37606FCCD3EA00E5EF9238D550514D61CAD48AC6F47D1D13F86D8.apk,85.4167,1
000AF66DE27040AFB58B0AF9A00718C6B11C1545131F541330D44544F443BA0D.apk,91.8743,1
000DB2A2C11A8EC902E3D586574026E43CB09284F695BCDC1FC0F407EE81B87A.apk,14.9721,1
000DC1EA922C6E686D14646A605048D9466129C830E5F2F9931B7AB050BEC39D.apk,99.8884,1
000E3FDE625D57C9E738F7B8484A674606DB40CD19F47B8A4D3043D1E556A2AF.apk,98.5219,1
00108D16124C210EBC8D5BCE79A3FF23A6EBE42AB1DEF96277ACEAC2EE3AEAE6.apk,47.9702,1
0012148B55A9EA49D2ECE91EE43AD82645795F3B0DE1A63C1081B38175CE97A1.apk,87.6564,1
00121B12A780B44BA4E6BE8F7A71D6DBCB57FC367901DE969C8B91A9AFE2004D.apk,76.7238,1
0012DF333367D76AFCE6E9A9F21002A4A1F1DCD1ED75BAFF1C1F7DB3CA1D579B.apk,28.1112,1
00138BEA574298CAF953F4496299F9FCA11E6F414D0603C967C438F212325663.apk,99.9892,1
00146EE1C186E6C240785E4B7311629279AE0005331B74E9D4662AE0EB4A7829.apk,34.4292,1
00149006D231783494698F27C7923ED6CF33773453061C2BCCA2ED7D24E5267A.apk,99.9697,1
0014F2839924EFBE237158F750F0C462D531AFE8BB988B21B0288636DDF8FAAF.apk,99.4576,1
0015AE2B2376E10F86ABCC2CCD06708C9E05B962F66644B0AAC7CC56A05B52C8.apk,98.2345,1
0015BB469B65CEE0CC44F03DBD84659DBA0A7A7BDC808BB90EBCF090337555E8.apk,91.5514,1
00161FDE20178496857014CFBC3581F3D76B43403F06EC5AE952AF61CF7D7A86.apk,5.1589,1
00167D61D71A8A0F050B7AADBB2124E6F4048C9C36E2DE519452154980F4C480.apk,81.5678,1
00177B173A657C5387A507B0A78B755F123B1F673C2D2BD14989836ABB69B609.apk,87.5252,1
001832D2D6B94B6E3C0CA98E520073C6A4180BC382B8DDF489F47A92EDB1BFFB.apk,52.6976,1
00185F2669B6A9AE384E84AEA975F0628CF73968B34B226E9A0F0F99A6ABDAFE.apk,99.9930,1
00188BD09C0BA026C2E6A39E5DE17DEB819B0F26C7FC98C517FA5E8FCCEDFBAC.apk,98.6861,1
0018925B0F91E9EF9C04DC0BFA56997F420B453EFC4AD874D8AF38265E4E3290.apk,95.9967,1
