apk_name,malware_score,label
0000511D5C2A99B303AFD14D2ACDE3EBBAD5C3426039679B25F24510A87B381C.apk,99.8925,1
000109A075DC3AFA88C45523A3EDF2039177386C58A48936FEAFEE9716F7BCBB.apk,99.9909,1
00013E39079F820CC8010FA9B6DEB57290B6BEE75365DFBE36B9348052760D08.apk,74.0357,1
00016FA3B94E1B117851EAC18D639873B892AB833D027A41243BAEE04AA49309.apk,99.8555,1
0001A112E6FA954379B572D79C8FD77C14D2301266B9BA731445C5B82ADEC21D.apk,60.4196,1
0002FB40F6F60813632B07E81D16EAE87753F4E92E813C8371A7EFBF61C7A6BB.apk,98.6890,1
00030B8F3F6E277C5A57415429E9D4FD0584ADCBF783291DBC6D5643DE8122C2.apk,55.2146,1
00041CB24A2BB4585B4A2AB040A13A00789EC7B683B38E43B02D0E5495AD1E86.apk,91.1837,1
0004B3F36CB7708D3EA332CA6004E90735D5825D39F093BDDAE2F3288E849AD4.apk,67.5996,1
0005FAFA5FA61EA3FD6CAE8684ABE566B9F3513751AF5944066DA426CDCA02AE.apk,99.6170,1
000635EEF5B02E5D32C3D067F386B8A136401779666CFC6C5B229A715CF80FC0.apk,80.3954,1
00066DEF7121F255F2392168C8E3D796EC949222239F8715673FA88E02689CE1.apk,99.9541,1
0007A823A2783F31BC9BD72B95662D79706F97F8C62B73C5C4A4FC41F627F769.apk,62.8150,1
0007F44CD054FC243E6D313584331EE513AB5F153EBE53B6BF130A66C10582D5.apk,99.9920,1
000860964328B084A2A06A2A863A009D209244D9932834476E12C2EE6656D3B0.apk,99.9843,1
0008AD471FEBC2BA04F07B2EE1D5BB28C1BF82858F29A6D02EF69EA6285C0D14.apk,94.8040,1
0008DE304B8A0D2D0ACD7490A2571888DFC63EF82CE50ECFE31A37E143872718.apk,63.4330,1
000AA7AC8DE37606FCCD3EA00E5EF9238D550514D61CAD48AC6F47D1D13F86D8.apk,68.5114,1
000AF66DE27040AFB58B0AF9A00718C6B11C1545131F541330D44544F443BA0D.apk,55.0339,1
000DB2A2C11A8EC902E3D586574026E43CB09284F695BCDC1FC0F407EE81B87A.apk,54.3747,1
000DC1EA922C6E686D14646A605048D9466129C830E5F2F9931B7AB050BEC39D.apk,99.9964,1
000E3FDE625D57C9E738F7B8484A674606DB40CD19F47B8A4D3043D1E556A2AF.apk,99.9434,1
00108D16124C210EBC8D5BCE79A3FF23A6EBE42AB1DEF96277ACEAC2EE3AEAE6.apk,63.0113,1
0012148B55A9EA49D2ECE91EE43AD82645795F3B0DE1A63C1081B38175CE97A1.apk,98.5166,1
00121B12A780B44BA4E6BE8F7A71D6DBCB57FC367901DE969C8B91A9AFE2004D.apk,64.2195,1
0012DF333367D76AFCE6E9A9F21002A4A1F1DCD1ED75BAFF1C1F7DB3CA1D579B.apk,56.2390,1
00138BEA574298CAF953F4496299F9FCA11E6F414D0603C967C438F212325663.apk,99.9991,1
00146EE1C186E6C240785E4B7311629279AE0005331B74E9D4662AE0EB4A7829.apk,54.6829,1
00149006D231783494698F27C7923ED6CF33773453061C2BCCA2ED7D24E5267A.apk,99.4661,1
0014F2839924EFBE237158F750F0C462D531AFE8BB988B21B0288636DDF8FAAF.apk,99.9961,1
0015AE2B2376E10F86ABCC2CCD06708C9E05B962F66644B0AAC7CC56A05B52C8.apk,99.9772,1
0015BB469B65CEE0CC44F03DBD84659DBA0A7A7BDC808BB90EBCF090337555E8.apk,92.4249,1
00161FDE20178496857014CFBC3581F3D76B43403F06EC5AE952AF61CF7D7A86.apk,53.2250,1
00167D61D71A8A0F050B7AADBB2124E6F4048C9C36E2DE519452154980F4C480.apk,82.5656,1
00177B173A657C5387A507B0A78B755F123B1F673C2D2BD14989836ABB69B609.apk,60.0177,1
001832D2D6B94B6E3C0CA98E520073C6A4180BC382B8DDF489F47A92EDB1BFFB.apk,52.9399,1
00185F2669B6A9AE384E84AEA975F0628CF73968B34B226E9A0F0F99A6ABDAFE.apk,99.6940,1
00188BD09C0BA026C2E6A39E5DE17DEB819B0F26C7FC98C517FA5E8FCCEDFBAC.apk,99.9541,1
0018925B0F91E9EF9C04DC0BFA56997F420B453EFC4AD874D8AF38265E4E3290.apk,94.1557,1
